Serial No.	Forward Voltage(Volt)	Forward Current(mAmp)
1	0	0
2	0.548	0.200
3	0.551	0.400
4	0.557	0.800
5	0.562	1.20
6	0.566	1.60
7	0.572	2.40
8	0.575	2.80
9	0.577	3.20
10	0.581	3.80
11	0.585	4.80
12	0.589	5.80
13	0.593	6.80
14	0.596	7.80
15	0.599	8.79
