V_DS_0	I_D_0	I_D_1	I_D_2
0.10	39e-6	19e-6	-2.01e-12
0.30	111e-6	51e-6	
0.50	175e-6	75e-6	
1.00	300e-6	100e-6	
1.50	375e-6	100e-6	
1.80	396e-6	100e-6	
2.00	400e-6	100e-6	
3.00	400e-6	100e-6	
10.00	400e-6	100e-6	-2.01e-12
